code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
USDCNH,21-Mar-2017,31-Jan-2020,24.3573299469074,19,39.4210526315789,42.1052631578947,10,74.9,60,0.0134334870096472,1.13272009442028,17.1607142857143
USDCOP,21-Mar-2017,31-Jan-2020,-12.5235375714009,24,31.2083333333333,37.5,16,46.8125,12.5,0.00845190327368943,-0.935226199790971,10.5324675324675
USDCZK,21-Mar-2017,31-Jan-2020,-0.58177330377327,20,37.45,30,14,53.5,21.4285714285714,0.0085697160667523,0.0243270266830361,14.6515151515152
USDHUF,21-Mar-2017,31-Jan-2020,2.93829501021667,22,34.0454545454545,22.7272727272727,9,83.2222222222222,55.5555555555556,0.0088133591939973,0.277409558926621,13.344262295082
USDIDR,21-Mar-2017,31-Jan-2020,12.6780290479626,22,34.0454545454545,31.8181818181818,10,74.9,40,0.0118573729414377,0.730952757376522,15.7
USDILS,21-Mar-2017,31-Jan-2020,-1.18610051245724,20,37.45,55,10,74.9,40,0.00608140589135288,-0.07615973752974,15.35
USDINR,21-Mar-2017,31-Jan-2020,-3.03549425162125,26,28.8076923076923,23.0769230769231,11,68.0909090909091,27.2727272727273,0.0105943625919284,-0.100480962210291,12.6111111111111
USDKRW,21-Mar-2017,31-Jan-2020,-1.19492830478858,22,34.0454545454545,18.1818181818182,8,93.625,37.5,0.00779937979114964,-0.0361016750140604,11.8196721311475
USDMXN,21-Mar-2017,31-Jan-2020,-5.26332125682867,18,41.6111111111111,44.4444444444444,13,57.6153846153846,23.0769230769231,0.00778324136311638,-0.378293307766182,15.6885245901639
USDMYR,21-Mar-2017,31-Jan-2020,34.5692625480686,16,46.8125,62.5,9,83.2222222222222,55.5555555555556,0.0105171940341621,1.87129666924772,21.7551020408163
USDPHP,21-Mar-2017,31-Jan-2020,-6.22627788111412,23,32.5652173913044,26.0869565217391,11,68.0909090909091,45.4545454545455,0.00703644560662674,-0.522627159373693,12.5735294117647
USDPLN,21-Mar-2017,31-Jan-2020,-3.63748325090338,24,31.2083333333333,20.8333333333333,12,62.4166666666667,33.3333333333333,0.00894399915218483,-0.191905932597413,11.6760563380282
USDRON,21-Mar-2017,31-Jan-2020,-6.36651488532896,21,35.6666666666667,23.8095238095238,13,57.6153846153846,30.7692307692308,0.00832579348980091,-0.43460957303271,13.7575757575758
USDRUB,13-Feb-2017,31-Jan-2020,-8.84298453258332,24,31.2083333333333,33.3333333333333,14,53.5,14.2857142857143,0.0105938458465641,-0.469855194767035,9.05333333333333
USDSGD,21-Mar-2017,31-Jan-2020,3.30290297530695,19,39.4210526315789,47.3684210526316,8,93.625,25,0.00782697865830033,0.324777922843127,19.3090909090909
USDTHB,21-Mar-2017,31-Jan-2020,14.8757095802126,17,44.0588235294118,35.2941176470588,8,93.625,62.5,0.00826142262960753,1.12859027712578,21.86
USDTRY,21-Mar-2017,31-Jan-2020,13.6470878201751,15,49.9333333333333,53.3333333333333,9,83.2222222222222,44.4444444444444,0.0127218715561139,0.734864682867806,19.265306122449
USDTWD,24-Mar-2017,31-Jan-2020,4.24000884655236,13,57.6153846153846,38.4615384615385,7,107,57.1428571428571,0.00675147046954801,0.442777109040961,23.5384615384615
USDZAR,21-Mar-2017,31-Jan-2020,-7.95825634088555,25,29.96,20,14,53.5,28.5714285714286,0.00828366042317776,-0.56851847624142,10.4615384615385
