currency
AUDUSD
EURUSD
GBPUSD
NZDUSD
USDCAD
USDCHF
USDJPY
USDNOK
USDSEK
USDBRL
USDCLP
USDCNH
USDCOP
USDCZK
USDHUF
USDIDR
USDILS
USDINR
USDKRW
USDMXN
USDMYR
USDPHP
USDPLN
USDRON
USDRUB
USDSGD
USDTHB
USDTRY
USDTWD
USDZAR
