code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,21-Mar-2017,31-Jan-2020,-2.77434646797925,23,32.5652173913044,30.4347826086957,12,62.4166666666667,33.3333333333333,0.00771878965575943,-0.169892923317605,12.6805555555556
EURUSD,21-Mar-2017,31-Jan-2020,-3.74942680146956,21,35.6666666666667,28.5714285714286,12,62.4166666666667,25,0.00776501499275349,-0.250400876836501,12.9230769230769
GBPUSD,21-Mar-2017,31-Jan-2020,2.40258181308699,22,34.0454545454545,31.8181818181818,10,74.9,30,0.00841025103832057,0.24496605216263,14.6
NZDUSD,21-Mar-2017,31-Jan-2020,6.49106058309945,21,35.6666666666667,42.8571428571429,10,74.9,60,0.00700490600391851,0.623931186455491,16.327868852459
USDCAD,21-Mar-2017,31-Jan-2020,-14.083197168458,24,31.2083333333333,25,15,49.9333333333333,13.3333333333333,0.00722374170924863,-1.27310975334479,11.1558441558442
USDCHF,21-Mar-2017,31-Jan-2020,-0.97990542485028,21,35.6666666666667,38.0952380952381,11,68.0909090909091,45.4545454545455,0.0075986149566807,-0.0221444286410177,13.1666666666667
USDJPY,21-Mar-2017,31-Jan-2020,-4.1783426424982,24,31.2083333333333,33.3333333333333,13,57.6153846153846,23.0769230769231,0.00796526920623074,-0.276500116797243,11.7567567567568
USDNOK,21-Mar-2017,31-Jan-2020,1.08242689882185,21,35.6666666666667,38.0952380952381,9,83.2222222222222,55.5555555555556,0.00747701534830772,0.150097936020089,15.7868852459016
USDSEK,21-Mar-2017,31-Jan-2020,2.55998489837748,20,37.45,45,11,68.0909090909091,18.1818181818182,0.00751553006739342,0.272334752096806,13.6031746031746
USDBRL,21-Mar-2017,31-Jan-2020,-0.902145554812295,22,34.0454545454545,27.2727272727273,13,57.6153846153846,15.3846153846154,0.0108616002810799,0.0334914253972601,12.8676470588235
USDCLP,21-Mar-2017,31-Jan-2020,5.16636041398593,21,35.6666666666667,33.3333333333333,10,74.9,40,0.0100498302926706,0.397009279254393,14.3606557377049
USDCNH,21-Mar-2017,31-Jan-2020,24.3573732919937,19,39.4210526315789,42.1052631578947,10,74.9,60,0.013433511465903,1.13272004584547,17.1607142857143
USDCOP,21-Mar-2017,31-Jan-2020,-12.5234522800315,24,31.2083333333333,37.5,16,46.8125,12.5,0.00845187416729745,-0.9352225815674,10.5324675324675
USDCZK,21-Mar-2017,31-Jan-2020,-0.581954633091564,20,37.45,30,14,53.5,21.4285714285714,0.00856972363293414,0.0243136480689033,14.6515151515152
USDHUF,21-Mar-2017,31-Jan-2020,2.93829758300297,22,34.0454545454545,22.7272727272727,9,83.2222222222222,55.5555555555556,0.00881337378259612,0.277409503171602,13.344262295082
USDIDR,21-Mar-2017,31-Jan-2020,12.6781408610605,22,34.0454545454545,31.8181818181818,10,74.9,40,0.0118574004944611,0.730956785426052,15.7
USDILS,21-Mar-2017,31-Jan-2020,-1.18609008183653,20,37.45,55,10,74.9,40,0.00608149940582806,-0.0761559882015181,15.35
USDINR,21-Mar-2017,31-Jan-2020,-3.03556676252094,26,28.8076923076923,23.0769230769231,11,68.0909090909091,27.2727272727273,0.0105943419595261,-0.100485957870605,12.6111111111111
USDKRW,21-Mar-2017,31-Jan-2020,-1.19516359992591,22,34.0454545454545,18.1818181818182,8,93.625,37.5,0.00779929814189456,-0.03612266695031,11.8196721311475
USDMXN,21-Mar-2017,31-Jan-2020,-5.26338647508202,18,41.6111111111111,44.4444444444444,13,57.6153846153846,23.0769230769231,0.00778324370531895,-0.378298765886413,15.6885245901639
USDMYR,21-Mar-2017,31-Jan-2020,34.5693449139314,16,46.8125,62.5,9,83.2222222222222,55.5555555555556,0.0105172097472709,1.87129781261542,21.7551020408163
USDPHP,21-Mar-2017,31-Jan-2020,-6.2261955183847,23,32.5652173913044,26.0869565217391,11,68.0909090909091,45.4545454545455,0.0070363794831589,-0.522625234422506,12.5735294117647
USDPLN,21-Mar-2017,31-Jan-2020,-3.63750708772355,24,31.2083333333333,20.8333333333333,12,62.4166666666667,33.3333333333333,0.00894410821593922,-0.191903632025761,11.6760563380282
USDRON,21-Mar-2017,31-Jan-2020,-6.36669073868487,21,35.6666666666667,23.8095238095238,13,57.6153846153846,30.7692307692308,0.008325776674485,-0.434624977801148,13.7575757575758
USDRUB,13-Feb-2017,31-Jan-2020,-8.84293769908842,24,31.2083333333333,33.3333333333333,14,53.5,14.2857142857143,0.0105938506255103,-0.469851871664995,9.05333333333333
USDSGD,21-Mar-2017,31-Jan-2020,3.30298039879593,19,39.4210526315789,47.3684210526316,8,93.625,25,0.00782704435681265,0.32478229904526,19.3090909090909
USDTHB,21-Mar-2017,31-Jan-2020,14.875886090794,17,44.0588235294118,35.2941176470588,8,93.625,62.5,0.00826149834965598,1.12859290391427,21.86
USDTRY,21-Mar-2017,31-Jan-2020,13.6484366091371,15,49.9333333333333,53.3333333333333,9,83.2222222222222,44.4444444444444,0.012722359815528,0.734902886659026,19.265306122449
USDTWD,24-Mar-2017,31-Jan-2020,4.24019209269506,13,57.6153846153846,38.4615384615385,7,107,57.1428571428571,0.00675147982200997,0.442793130792193,23.5384615384615
USDZAR,21-Mar-2017,31-Jan-2020,-7.95759699284861,25,29.96,20,14,53.5,28.5714285714286,0.00828382872610006,-0.568449552595378,10.4615384615385
