code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,3.16880390081364,125,37.16,39.2,68,68.3088235294118,32.3529411764706,128.606208578127,0.207873358128935,15.4373974898183
EURUSD,15-Apr-2002,31-Jan-2020,3.48921646645934,128,36.2890625,35.15625,66,70.3787878787879,34.8484848484849,164.206480072839,0.184755668422254,14.7344895362979
GBPUSD,15-Apr-2002,31-Jan-2020,-0.904096572974211,145,32.0344827586207,28.2758620689655,76,61.1184210526316,27.6315789473684,96.8741348788838,-0.0545607400435492,13.3143743736313
NZDUSD,15-Apr-2002,31-Jan-2020,3.79227093249348,124,37.4596774193548,37.0967741935484,64,72.578125,37.5,139.177868229893,0.243806322992013,16.196512378902
USDCAD,15-Apr-2002,31-Jan-2020,0.403907795150515,129,36.0077519379845,31.0077519379845,67,69.3283582089552,34.3283582089552,185.934766879669,0.022591005902194,14.7656516572771
USDCHF,15-Apr-2002,31-Jan-2020,-2.83692749087971,133,34.9248120300752,33.8345864661654,70,66.3571428571429,31.4285714285714,245.540260055211,-0.0958112402395325,13.831996903286
USDJPY,15-Apr-2002,31-Jan-2020,1.44320228415511,137,33.9051094890511,32.8467153284672,66,70.3787878787879,34.8484848484849,13849.9079187515,0.0990730053221272,13.4636021015687
USDNOK,15-Apr-2002,31-Jan-2020,4.74681984571739,121,38.3884297520661,38.0165289256198,70,66.3571428571429,34.2857142857143,1340.30645705617,0.300985109692126,15.6475492231932
USDSEK,15-Apr-2002,31-Jan-2020,1.96333906757618,133,34.9248120300752,34.5864661654135,67,69.3283582089552,35.8208955223881,1324.58759545451,0.115800917983823,14.7512539684702
USDBRL,12-Apr-2002,31-Jan-2020,7.91085589668261,123,37.7642276422764,34.9593495934959,65,71.4615384615385,33.8461538461538,756.614917185719,0.321465943986036,15.9293656029723
USDCLP,12-Apr-2002,31-Jan-2020,9.28017556480047,132,35.1893939393939,37.8787878787879,61,76.1475409836066,42.6229508196721,271865.361467021,0.338043457654447,15.3706955084187
USDCOP,11-Apr-2002,31-Jan-2020,11.96775826503,109,42.6146788990826,48.6238532110092,64,72.578125,42.1875,1548076.43088008,0.357187062807824,17.5324565919408
USDCZK,12-Apr-2002,31-Jan-2020,3.49749612538846,118,39.364406779661,40.6779661016949,69,67.3188405797101,39.1304347826087,4541.34856144042,0.228511059601596,16.4339612486545
USDHUF,12-Apr-2002,31-Jan-2020,0.299184865429547,132,35.1893939393939,31.0606060606061,59,78.728813559322,38.9830508474576,22970.0795356368,0.023182489521481,14.7289238878118
USDILS,11-Apr-2002,31-Jan-2020,4.36347193853066,119,39.0336134453782,43.6974789915966,59,78.728813559322,45.7627118644068,662.593845613227,0.296498128244988,17.2648537598032
USDINR,15-Apr-2002,31-Jan-2020,10.3731108738015,105,44.2380952380952,40,53,87.6415094339623,49.0566037735849,27959.2157336446,0.313065341500336,19.6447764811554
USDKRW,11-Apr-2002,31-Jan-2020,4.04695774309263,124,37.4596774193548,33.8709677419355,67,69.3283582089552,29.8507462686567,284034.903919836,0.173064653204979,15.0986254642629
USDMXN,12-Apr-2002,31-Jan-2020,1.5841752494032,129,36.0077519379845,35.6589147286822,59,78.728813559322,35.5932203389831,1142.32823226001,0.0924096377472842,15.0022191392696
USDMYR,15-Apr-2002,31-Jan-2020,27.2403933684866,100,46.45,39,52,89.3269230769231,44.2307692307692,14353.2520074635,0.783033572799869,19.3068794078576
USDPHP,12-Apr-2002,31-Jan-2020,0.709664811195077,103,45.0970873786408,35.9223300970874,55,84.4545454545455,41.8181818181818,4193.10835795354,0.0581388968665966,19.0946144405669
USDPLN,15-Apr-2002,31-Jan-2020,1.55719983643929,125,37.16,35.2,66,70.3787878787879,31.8181818181818,456.279228149819,0.100813179896102,15.3892591503371
USDRON,12-Apr-2002,31-Jan-2020,1.85629943903745,110,42.2272727272727,33.6363636363636,63,73.7301587301587,34.9206349206349,359.071403021076,0.127292589363448,17.0694238286783
USDSGD,15-Apr-2002,31-Jan-2020,4.79095001472372,122,38.0737704918033,40.1639344262295,59,78.728813559322,35.5932203389831,248.5990539388,0.348301757522733,17.6250136416902
USDTHB,12-Apr-2002,31-Jan-2020,13.6271634491172,80,58.0625,56.25,52,89.3269230769231,53.8461538461538,21364.6933424945,0.675343182394589,25.4905740657552
USDTRY,12-Apr-2002,31-Jan-2020,4.44804856914303,118,39.364406779661,38.9830508474576,66,70.3787878787879,33.3333333333333,214.930087648208,0.257560288942947,15.9257260011204
USDTWD,19-Apr-2002,31-Jan-2020,14.003987712471,85,54.6470588235294,48.2352941176471,49,94.7959183673469,59.1836734693878,18245.5615507425,0.677324896548561,23.9176297010527
USDZAR,12-Apr-2002,31-Jan-2020,-1.70767250565081,130,35.7307692307692,30.7692307692308,67,69.3283582089552,28.3582089552239,1017.23888751267,-0.102824895628797,14.2005504200282
