code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,2.79693878488854,127,36.5748031496063,37.7952755905512,85,54.6470588235294,38.8235294117647,119.168462599841,0.191243589748813,12.5303206937872
EURUSD,15-Apr-2002,31-Jan-2020,3.37052605162631,127,36.5748031496063,35.4330708661417,80,58.0625,36.25,163.846122872731,0.176873191176428,12.6093330047856
GBPUSD,15-Apr-2002,31-Jan-2020,-0.479431357841809,146,31.8150684931507,28.0821917808219,84,55.2976190476191,33.3333333333333,95.6295534440172,-0.0304061964445416,11.571421350681
NZDUSD,15-Apr-2002,31-Jan-2020,2.30560075214055,124,37.4596774193548,37.0967741935484,82,56.6463414634146,36.5853658536585,111.952198066187,0.160335169510171,13.148757898837
USDCAD,15-Apr-2002,31-Jan-2020,-0.183703339316921,129,36.0077519379845,31.0077519379845,84,55.2976190476191,35.7142857142857,150.039776022227,-0.012090305929636,12.0303506616856
USDCHF,15-Apr-2002,31-Jan-2020,-1.60845607030636,134,34.6641791044776,33.5820895522388,80,58.0625,36.25,199.197398301538,-0.0741769872160107,11.8904628632939
USDJPY,15-Apr-2002,31-Jan-2020,2.0387450329892,137,33.9051094890511,32.8467153284672,78,59.5512820512821,34.6153846153846,14638.2951338942,0.139813492953876,11.2208396124865
USDNOK,15-Apr-2002,31-Jan-2020,4.58966548041899,122,38.0737704918033,37.7049180327869,80,58.0625,33.75,1377.86089503657,0.278834812654946,12.974983853606
USDSEK,15-Apr-2002,31-Jan-2020,1.48360214656948,133,34.9248120300752,34.5864661654135,80,58.0625,42.5,1267.0458089776,0.0875622679049005,12.5314192363705
USDBRL,12-Apr-2002,31-Jan-2020,6.58095809372796,124,37.4596774193548,34.6774193548387,77,60.3246753246753,38.961038961039,588.968552022025,0.300701965690922,13.4055292073879
USDCLP,12-Apr-2002,31-Jan-2020,8.16275146840479,133,34.9248120300752,37.593984962406,74,62.7702702702703,44.5945945945946,212551.691033262,0.339321689487854,12.6195586391678
USDCOP,11-Apr-2002,31-Jan-2020,11.3712335239693,109,42.6146788990826,48.6238532110092,78,59.5512820512821,42.3076923076923,1277310.42317854,0.386294883071369,14.8895552021979
USDCZK,12-Apr-2002,31-Jan-2020,2.14861010550949,120,38.7083333333333,40.8333333333333,82,56.6463414634146,35.3658536585366,4029.66881393311,0.139514118635378,13.807971980785
USDHUF,12-Apr-2002,31-Jan-2020,-1.20289115822546,132,35.1893939393939,31.0606060606061,80,58.0625,36.25,18873.5721088742,-0.099542627195155,11.5010695554589
USDILS,11-Apr-2002,31-Jan-2020,3.96920515293366,120,38.7083333333333,43.3333333333333,74,62.7702702702703,43.2432432432432,567.251521002424,0.303395951349647,14.0614051246768
USDINR,15-Apr-2002,31-Jan-2020,10.7969775693405,105,44.2380952380952,40,61,76.1475409836066,50.8196721311475,28035.8315924399,0.339638401398938,16.763057050592
USDKRW,11-Apr-2002,31-Jan-2020,5.08240677728056,123,37.7642276422764,34.9593495934959,75,61.9333333333333,34.6666666666667,334134.343796527,0.204100507427087,13.2770392525822
USDMXN,12-Apr-2002,31-Jan-2020,-0.269796435628644,129,36.0077519379845,35.6589147286822,76,61.1184210526316,38.1578947368421,822.170570750323,-0.0185341509613179,11.9580161941173
USDMYR,15-Apr-2002,31-Jan-2020,10.5297783108854,101,45.990099009901,38.6138613861386,69,67.3188405797101,43.4782608695652,938.139638563409,0.747940869326893,13.9528778572785
USDPHP,12-Apr-2002,31-Jan-2020,0.878228383769364,103,45.0970873786408,35.9223300970874,69,67.3188405797101,46.3768115942029,4258.06554509894,0.0719272668045633,15.3019375672766
USDPLN,15-Apr-2002,31-Jan-2020,1.46467354490682,127,36.5748031496063,34.6456692913386,79,58.7974683544304,36.7088607594937,433.551580175257,0.0989587258958529,12.6493443228336
USDRON,12-Apr-2002,31-Jan-2020,1.02030216240867,113,41.1061946902655,31.858407079646,76,61.1184210526316,30.2631578947368,330.99535522591,0.0703587214951816,13.8693539152143
USDSGD,15-Apr-2002,31-Jan-2020,3.51332116742902,121,38.3884297520661,41.3223140495868,80,58.0625,38.75,203.12118422377,0.276702265456308,13.5380277627161
USDTHB,12-Apr-2002,31-Jan-2020,13.6331227799552,80,58.0625,55,65,71.4615384615385,58.4615384615385,20687.4733910543,0.698200830253544,20.6736305056254
USDTRY,12-Apr-2002,31-Jan-2020,4.51569273724732,120,38.7083333333333,38.3333333333333,78,59.5512820512821,33.3333333333333,204.207013827843,0.277001161416755,13.4188276739407
USDTWD,19-Apr-2002,31-Jan-2020,14.2606935692192,86,54.0116279069767,46.5116279069767,60,77.4166666666667,53.3333333333333,18676.9874007912,0.692627231706122,19.4047562504855
USDZAR,12-Apr-2002,31-Jan-2020,-1.67391250638147,131,35.4580152671756,30.5343511450382,81,57.3456790123457,32.0987654320988,1017.21097672478,-0.101082614998399,11.8339446686291
