code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,13-Feb-2017,31-Jan-2020,0.0652822525884831,0.881942679482497,16.2007189934092
AUDUSD,21-Mar-2017,31-Jan-2020,0.00771878965575943,-0.169892923317605,12.6805555555556
EURUSD,21-Mar-2017,31-Jan-2020,0.00776501499275349,-0.250400876836501,12.9230769230769
GBPUSD,21-Mar-2017,31-Jan-2020,0.00841025103832057,0.24496605216263,14.6
NZDUSD,21-Mar-2017,31-Jan-2020,0.00700490600391851,0.623931186455491,16.327868852459
USDCAD,21-Mar-2017,31-Jan-2020,0.00722379870484325,-1.27310021463646,11.1558441558442
USDCHF,21-Mar-2017,31-Jan-2020,0.00759860650633136,-0.0221492607660113,13.1666666666667
USDJPY,21-Mar-2017,31-Jan-2020,0.00796526658963359,-0.276497288772369,11.7567567567568
USDNOK,21-Mar-2017,31-Jan-2020,0.00747692319451303,0.150095601062978,15.7868852459016
USDSEK,21-Mar-2017,31-Jan-2020,0.00751550218739437,0.272334926024015,13.6031746031746
USDBRL,21-Mar-2017,31-Jan-2020,0.0108616540145385,0.0334894579496271,12.8676470588235
USDCLP,21-Mar-2017,31-Jan-2020,0.0100498569387227,0.397000325187935,14.3606557377049
USDCNH,21-Mar-2017,31-Jan-2020,0.0134334870096472,1.13272009442028,17.1607142857143
USDCOP,21-Mar-2017,31-Jan-2020,0.00845190327368943,-0.935226199790971,10.5324675324675
USDCZK,21-Mar-2017,31-Jan-2020,0.0085697160667523,0.0243270266830361,14.6515151515152
USDHUF,21-Mar-2017,31-Jan-2020,0.0088133591939973,0.277409558926621,13.344262295082
USDIDR,21-Mar-2017,31-Jan-2020,0.0118573729414377,0.730952757376522,15.7
USDILS,21-Mar-2017,31-Jan-2020,0.00608140589135288,-0.07615973752974,15.35
USDINR,21-Mar-2017,31-Jan-2020,0.0105943625919284,-0.100480962210291,12.6111111111111
USDKRW,21-Mar-2017,31-Jan-2020,0.00779937979114964,-0.0361016750140604,11.8196721311475
USDMXN,21-Mar-2017,31-Jan-2020,0.00778324136311638,-0.378293307766182,15.6885245901639
USDMYR,21-Mar-2017,31-Jan-2020,0.0105171940341621,1.87129666924772,21.7551020408163
USDPHP,21-Mar-2017,31-Jan-2020,0.00703644560662674,-0.522627159373693,12.5735294117647
USDPLN,21-Mar-2017,31-Jan-2020,0.00894399915218483,-0.191905932597413,11.6760563380282
USDRON,21-Mar-2017,31-Jan-2020,0.00832579348980091,-0.43460957303271,13.7575757575758
USDRUB,13-Feb-2017,31-Jan-2020,0.0105938458465641,-0.469855194767035,9.05333333333333
USDSGD,21-Mar-2017,31-Jan-2020,0.00782697865830033,0.324777922843127,19.3090909090909
USDTHB,21-Mar-2017,31-Jan-2020,0.00826142262960753,1.12859027712578,21.86
USDTRY,21-Mar-2017,31-Jan-2020,0.0127218715561139,0.734864682867806,19.265306122449
USDTWD,24-Mar-2017,31-Jan-2020,0.00675147046954801,0.442777109040961,23.5384615384615
USDZAR,21-Mar-2017,31-Jan-2020,0.00828366042317776,-0.56851847624142,10.4615384615385
