code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,21-Mar-2017,31-Jan-2020,0.0610793171324509,0.810745096369641,19.1715721464465
AUDUSD,21-Mar-2017,31-Jan-2020,0.00741233383779388,-0.229149323274967,12.7564102564103
EURUSD,21-Mar-2017,31-Jan-2020,0.00785571971729699,-0.372021645571005,12.5733333333333
GBPUSD,21-Mar-2017,31-Jan-2020,0.00855696044962866,0.282647167930315,14.3428571428571
NZDUSD,21-Mar-2017,31-Jan-2020,0.00749553165869446,0.651107716247989,16.1449275362319
USDCAD,21-Mar-2017,31-Jan-2020,0.00724281180564327,-1.18188809706857,11.6103896103896
USDCHF,21-Mar-2017,31-Jan-2020,0.00794719245497977,-0.0751416417277066,13.4411764705882
USDJPY,21-Mar-2017,31-Jan-2020,0.00850831547982327,-0.18264758104405,12.0126582278481
USDNOK,21-Mar-2017,31-Jan-2020,0.00834178727548429,0.228435013435398,15.6119402985075
USDSEK,21-Mar-2017,31-Jan-2020,0.00746510846756731,0.0538333051034653,12.9178082191781
USDBRL,21-Mar-2017,31-Jan-2020,0.0110878981931745,0.0447634129180905,13.2638888888889
USDCLP,21-Mar-2017,31-Jan-2020,0.0108238196709192,0.428646065522495,13.7971014492754
USDCOP,21-Mar-2017,31-Jan-2020,0.0090313902067297,-0.724438031421043,10.5060240963855
USDCZK,21-Mar-2017,31-Jan-2020,0.00880723896418424,-0.0407176498429006,14.3243243243243
USDHUF,21-Mar-2017,31-Jan-2020,0.00873518858423156,0.0028020367610999,12.6712328767123
USDILS,21-Mar-2017,31-Jan-2020,0.00633549207602636,-0.21311667457854,14.6363636363636
USDINR,21-Mar-2017,31-Jan-2020,0.00904689614749161,-0.355580057534487,13.28
USDKRW,21-Mar-2017,31-Jan-2020,0.00788266294072057,-0.389737280191442,11.8450704225352
USDMXN,21-Mar-2017,31-Jan-2020,0.00763250604292631,-0.374768392744726,14.768115942029
USDMYR,21-Mar-2017,31-Jan-2020,0.0119014919554881,2.24004371604437,19.3064516129032
USDPHP,21-Mar-2017,31-Jan-2020,0.00728580338763841,-0.5086604291474,14.030303030303
USDPLN,21-Mar-2017,31-Jan-2020,0.00908318638069324,-0.331910408984486,11.9753086419753
USDRON,21-Mar-2017,31-Jan-2020,0.00859143691222801,-0.410661959501289,13.7808219178082
USDSGD,21-Mar-2017,31-Jan-2020,0.00802155977480275,0.050712967192657,17.1449275362319
USDTHB,21-Mar-2017,31-Jan-2020,0.00824143883358538,1.13568464579393,21.2962962962963
USDTRY,21-Mar-2017,31-Jan-2020,0.0127331807253302,0.681871825918257,18.8301886792453
USDTWD,24-Mar-2017,31-Jan-2020,0.0064532059049438,0.235619236842838,22.906976744186
USDZAR,21-Mar-2017,31-Jan-2020,0.0086777297579594,-0.609490568798217,10.0333333333333
