code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,04-Apr-2011,31-Jan-2020,0.708287023932289,-0.343874749814626,19.7942989214176
AUDUSD,04-Apr-2011,31-Jan-2020,0.00801886188117136,0.18911409165416,14.3480392156863
EURUSD,04-Apr-2011,31-Jan-2020,0.00825573508392296,-0.110332691467966,13.4060913705584
GBPUSD,04-Apr-2011,31-Jan-2020,0.00941040726170344,-0.250117305235273,12.2297872340426
NZDUSD,04-Apr-2011,31-Jan-2020,0.0080803023182613,0.16975606351191,14.8781725888325
USDCAD,04-Apr-2011,31-Jan-2020,0.0080756079432852,-0.233681664654037,14.2200956937799
USDCHF,04-Apr-2011,31-Jan-2020,0.0129630491494202,-0.207787242231058,13.2205882352941
USDJPY,04-Apr-2011,31-Jan-2020,0.00945684306853122,0.431286211657677,13.3877551020408
USDNOK,04-Apr-2011,31-Jan-2020,0.0082588116302457,0.214259989879999,16.0110497237569
USDSEK,04-Apr-2011,31-Jan-2020,0.00748348397755357,-0.307805869171899,13.3671497584541
USDBRL,04-Apr-2011,31-Jan-2020,0.012044437847262,0.416066512010472,15.3263157894737
USDCLP,04-Apr-2011,31-Jan-2020,0.00919851334488194,0.136556610929258,14.0923076923077
USDCOP,04-Apr-2011,31-Jan-2020,0.00825894493566203,0.169121815455171,14.1230769230769
USDCZK,04-Apr-2011,31-Jan-2020,0.00803089962859441,-0.0625423816755762,14.5742574257426
USDHUF,04-Apr-2011,31-Jan-2020,0.00807766284950026,-0.0613938654218998,13.7566137566138
USDILS,04-Apr-2011,31-Jan-2020,0.00654877709048888,0.098143705210052,16.7931034482759
USDINR,04-Apr-2011,31-Jan-2020,0.0112851707548212,0.291868652790048,13.8578431372549
USDKRW,04-Apr-2011,31-Jan-2020,0.00861697890285705,0.00954861360307058,14.0964467005076
USDMXN,04-Apr-2011,31-Jan-2020,0.00989546091883655,0.134263147457124,15.6162162162162
USDMYR,05-Apr-2011,31-Jan-2020,0.0103981304878408,1.00308343382346,16.7724867724868
USDPHP,04-Apr-2011,31-Jan-2020,0.00698651079722497,-0.100750216325572,16.4772727272727
USDPLN,04-Apr-2011,31-Jan-2020,0.00864545835966041,0.00271276812560235,13.6884422110553
USDRON,04-Apr-2011,31-Jan-2020,0.00829003185190095,0.112051171708965,14.8989361702128
USDSGD,04-Apr-2011,31-Jan-2020,0.00846918701013598,0.424780444699236,18.2628571428571
USDTHB,04-Apr-2011,31-Jan-2020,0.00771130913305117,0.601631174126455,19.9615384615385
USDTRY,04-Apr-2011,31-Jan-2020,0.0110825456424047,0.562079858081814,15.261780104712
USDTWD,08-Apr-2011,31-Jan-2020,0.00758880844652855,0.62301965910868,22.036496350365
USDZAR,04-Apr-2011,31-Jan-2020,0.00843840486323447,-0.167460906933527,12.68
