code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,17-Dec-2004,31-Jan-2020,0.0352351312217398,0.666050403785465,20.8508359032625
AUDUSD,20-Dec-2004,31-Jan-2020,0.00793166364858682,0.116722465167205,13.5260115606936
EURUSD,20-Dec-2004,31-Jan-2020,0.00811697735376776,0.309048150613891,14.5804416403785
GBPUSD,20-Dec-2004,31-Jan-2020,0.00868481650163852,-0.106491515458184,12.3530997304582
NZDUSD,20-Dec-2004,31-Jan-2020,0.00771843963433761,0.0520728921279602,14.9331306990881
USDCAD,20-Dec-2004,31-Jan-2020,0.00784520495260085,0.0209202622411149,14.3627760252366
USDCHF,20-Dec-2004,31-Jan-2020,0.0109714816667555,-0.143909416310938,13.5029585798817
USDJPY,20-Dec-2004,31-Jan-2020,0.00904653751087388,0.227882565263351,13.0238095238095
USDNOK,20-Dec-2004,31-Jan-2020,0.00892464651715007,0.380970918983936,15.4196721311475
USDSEK,20-Dec-2004,31-Jan-2020,0.00785780841277358,0.0618590352959141,14.166163141994
USDBRL,20-Dec-2004,31-Jan-2020,0.0113178900189857,0.307790138687955,14.7670807453416
USDCLP,20-Dec-2004,31-Jan-2020,0.00985033040941343,0.414651923157645,14.0433436532508
USDCOP,17-Dec-2004,31-Jan-2020,0.00848513468558428,0.497961703443872,16.0301003344482
USDCZK,20-Dec-2004,31-Jan-2020,0.00754704351870121,0.171433022293628,15.6677215189873
USDHUF,20-Dec-2004,31-Jan-2020,0.00770953285492451,0.0373926923559944,14.3438485804416
USDILS,20-Dec-2004,31-Jan-2020,0.00705622363255479,0.358510713297908,17.0310344827586
USDINR,20-Dec-2004,31-Jan-2020,0.00924343035278455,0.482860816129502,16.8561151079137
USDKRW,20-Dec-2004,31-Jan-2020,0.0119945064192286,0.24468929404479,15.0225080385852
USDMXN,20-Dec-2004,31-Jan-2020,0.00952995958904676,0.127137098124712,14.6384364820847
USDMYR,21-Dec-2004,31-Jan-2020,0.00994303615147714,1.06296582176767,17.127147766323
USDPHP,20-Dec-2004,31-Jan-2020,0.00642862238933581,0.098022407957487,18.9007352941176
USDPLN,20-Dec-2004,31-Jan-2020,0.00847729392186966,0.178033693469037,14.7791798107256
USDRON,20-Dec-2004,31-Jan-2020,0.00778432729857561,0.307603945505538,16.758865248227
USDSGD,20-Dec-2004,31-Jan-2020,0.00793027811307156,0.472752611770925,18.4913494809689
USDTHB,20-Dec-2004,31-Jan-2020,0.0101181662483281,0.839043239767053,25.3333333333333
USDTRY,20-Dec-2004,31-Jan-2020,0.0105134781457567,0.330999610258641,14.5960912052117
USDTWD,24-Dec-2004,31-Jan-2020,0.00846890480761357,0.913644255588923,22.1601731601732
USDZAR,20-Dec-2004,31-Jan-2020,0.00870668050448256,-0.182669920514649,13.6207951070336
