code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,17-Dec-2004,31-Jan-2020,0.646102638564867,-0.425733961654283,26.0577237248139
AUDUSD,20-Dec-2004,31-Jan-2020,0.00844196722253102,-0.0350112910176055,17.9630872483221
EURUSD,20-Dec-2004,31-Jan-2020,0.00881076683284319,0.187850638889675,18.8014440433213
GBPUSD,20-Dec-2004,31-Jan-2020,0.00941298030163685,-0.0616650018982935,16.0185185185185
NZDUSD,20-Dec-2004,31-Jan-2020,0.00834919144628659,0.035603226359728,20.7396226415094
USDCAD,20-Dec-2004,31-Jan-2020,0.00841750094890481,-0.0530771628162303,18.2688172043011
USDCHF,20-Dec-2004,31-Jan-2020,0.00977140437664986,-0.120874003603745,18.2
USDJPY,20-Dec-2004,31-Jan-2020,0.00950149473457081,0.207777848229065,18.5072463768116
USDNOK,20-Dec-2004,31-Jan-2020,0.00815911751842345,0.0464958658210413,19.1949458483755
USDSEK,20-Dec-2004,31-Jan-2020,0.0093641138953457,0.242593463215279,18.3274021352313
USDBRL,20-Dec-2004,31-Jan-2020,0.0111704877253235,0.345813376561044,18.481884057971
USDCLP,20-Dec-2004,31-Jan-2020,0.0105291526167194,0.31392342215758,17.7921146953405
USDCOP,17-Dec-2004,31-Jan-2020,0.0104330003112565,0.524630794590022,20.4513618677043
USDCZK,20-Dec-2004,31-Jan-2020,0.00767196503543063,-0.0627470614533198,18.8299319727891
USDHUF,20-Dec-2004,31-Jan-2020,0.00865592381066076,0.0948155113154226,19.5283018867925
USDILS,20-Dec-2004,31-Jan-2020,0.00748335841057562,0.367858170440895,24.7013574660633
USDINR,20-Dec-2004,31-Jan-2020,0.0090998485890088,0.420082042480965,22.3553719008264
USDKRW,20-Dec-2004,31-Jan-2020,0.0115067106133208,0.10982478990618,17.2730375426621
USDMXN,20-Dec-2004,31-Jan-2020,0.0103474696507562,0.207726222008791,20.244094488189
USDMYR,21-Dec-2004,31-Jan-2020,0.0115519580565756,1.18971006330779,22.266393442623
USDPHP,20-Dec-2004,31-Jan-2020,0.0072516639346534,0.275749646993161,25.7522123893805
USDPLN,20-Dec-2004,31-Jan-2020,0.00887646605638433,0.0292496927186843,19.6520146520147
USDRON,20-Dec-2004,31-Jan-2020,0.00850381655343895,0.263864447550427,20.4330708661417
USDSGD,20-Dec-2004,31-Jan-2020,0.00869655356402287,0.506625088771415,29.377990430622
USDTHB,20-Dec-2004,31-Jan-2020,0.0106655273038952,0.748039404973297,29.05
USDTRY,20-Dec-2004,31-Jan-2020,0.0116682909587069,0.324194167000217,19.2777777777778
USDTWD,24-Dec-2004,31-Jan-2020,0.00882664612060366,0.832746627335415,27.5073891625616
USDZAR,20-Dec-2004,31-Jan-2020,0.00910754342512849,-0.332581486353829,16.7328767123288
