code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,21-Mar-2017,31-Jan-2020,0.0554717068670219,0.747067637617919,18.4981074943225
AUDUSD,21-Mar-2017,31-Jan-2020,0.00747945195981445,-0.161662246842012,13.1285714285714
EURUSD,21-Mar-2017,31-Jan-2020,0.00756380606916682,-0.291730942967276,13.0153846153846
GBPUSD,21-Mar-2017,31-Jan-2020,0.00851371266401008,0.190865985517624,14.2615384615385
NZDUSD,21-Mar-2017,31-Jan-2020,0.00719996761353501,0.635397909630351,16.2786885245902
USDCAD,21-Mar-2017,31-Jan-2020,0.0072307655879871,-1.23169077703933,11.4266666666667
USDCHF,21-Mar-2017,31-Jan-2020,0.00723431453871986,-0.210089935366741,12.1029411764706
USDJPY,21-Mar-2017,31-Jan-2020,0.00753901110644181,-0.423821869570641,11.1466666666667
USDNOK,21-Mar-2017,31-Jan-2020,0.00722153058876346,0.200565954110156,16.1967213114754
USDSEK,21-Mar-2017,31-Jan-2020,0.00740271252011529,0.218329151710856,13.7460317460317
USDBRL,21-Mar-2017,31-Jan-2020,0.0105926869279363,0.0102677968686172,12.5142857142857
USDCLP,21-Mar-2017,31-Jan-2020,0.00985138425931383,0.332612347838549,13.984126984127
USDCOP,21-Mar-2017,31-Jan-2020,0.00823303079116247,-0.978363168178844,10.2405063291139
USDCZK,21-Mar-2017,31-Jan-2020,0.00846975807451211,0.145913810550205,15.3709677419355
USDHUF,21-Mar-2017,31-Jan-2020,0.00887398264536714,0.277665194809354,13.8688524590164
USDILS,21-Mar-2017,31-Jan-2020,0.00617903778234627,-0.0819432799768398,15.3166666666667
USDINR,21-Mar-2017,31-Jan-2020,0.010079790842858,-0.135049539382441,12.5555555555556
USDKRW,21-Mar-2017,31-Jan-2020,0.00773534102749218,-0.0306667187921768,11.5737704918033
USDMXN,21-Mar-2017,31-Jan-2020,0.00766947024901801,-0.348313713474855,16.2033898305085
USDMYR,21-Mar-2017,31-Jan-2020,0.0109142577873745,1.88695446521893,21.8163265306122
USDPHP,21-Mar-2017,31-Jan-2020,0.00678348006197996,-0.523923423859256,12.8823529411765
USDPLN,21-Mar-2017,31-Jan-2020,0.00861957503004024,-0.185660272219661,12.7462686567164
USDRON,21-Mar-2017,31-Jan-2020,0.00793176977879264,-0.495369959386201,13.7575757575758
USDSGD,21-Mar-2017,31-Jan-2020,0.00750718566983499,0.286880972299246,19.3090909090909
USDTHB,21-Mar-2017,31-Jan-2020,0.00777188617046862,1.18648054090076,22.3958333333333
USDTRY,21-Mar-2017,31-Jan-2020,0.0132600050111027,0.744706995186269,19.4081632653061
USDTWD,24-Mar-2017,31-Jan-2020,0.00655834747239496,0.454927064554316,23.5384615384615
USDZAR,21-Mar-2017,31-Jan-2020,0.00793686338780007,-0.615787979819245,10.4871794871795
