code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,21-Mar-2017,31-Jan-2020,0.0543513590993566,0.663208555229473,20.2080433101315
AUDUSD,21-Mar-2017,31-Jan-2020,0.00764022915582331,-0.167020446618736,13.9411764705882
EURUSD,21-Mar-2017,31-Jan-2020,0.00793472362916409,-0.220040539441656,13.968253968254
GBPUSD,21-Mar-2017,31-Jan-2020,0.00859229449270818,0.238877250920605,15.952380952381
NZDUSD,21-Mar-2017,31-Jan-2020,0.00695772704485132,0.422256404241714,17.6949152542373
USDCAD,21-Mar-2017,31-Jan-2020,0.00729865845725714,-1.18122179936609,12.7260273972603
USDCHF,21-Mar-2017,31-Jan-2020,0.00807796745653725,-0.267550014203778,14.5909090909091
USDJPY,21-Mar-2017,31-Jan-2020,0.00806994870160844,-0.345112627359241,12.6666666666667
USDNOK,21-Mar-2017,31-Jan-2020,0.00752541939592659,0.0133977158707349,17.271186440678
USDSEK,21-Mar-2017,31-Jan-2020,0.00777886337758307,0.323688274704033,16.1864406779661
USDBRL,21-Mar-2017,31-Jan-2020,0.0112529009356316,0.0899055992240655,14.515625
USDCLP,21-Mar-2017,31-Jan-2020,0.0107266026300239,0.447615943884319,17.7368421052632
USDCOP,21-Mar-2017,31-Jan-2020,0.00861718957998446,-1.00814347381832,11.038961038961
USDCZK,21-Mar-2017,31-Jan-2020,0.00860081006554431,0.0748959446780063,18.2881355932203
USDHUF,21-Mar-2017,31-Jan-2020,0.00884241988214202,0.30277854544513,14.5901639344262
USDILS,21-Mar-2017,31-Jan-2020,0.00627160956354663,0.0265375987505972,17.9818181818182
USDINR,21-Mar-2017,31-Jan-2020,0.0107961679312995,0.0110365152227462,14.7647058823529
USDKRW,21-Mar-2017,31-Jan-2020,0.00785389650499716,-0.174817414855451,12.0327868852459
USDMXN,21-Mar-2017,31-Jan-2020,0.00779078271109891,-0.446817038513658,17.0847457627119
USDMYR,21-Mar-2017,31-Jan-2020,0.00941999734624249,1.7234178526081,23.8297872340426
USDPHP,21-Mar-2017,31-Jan-2020,0.00730986067202972,-0.41686361305251,14.9538461538462
USDPLN,21-Mar-2017,31-Jan-2020,0.00888328509066331,-0.15657727284643,12.1304347826087
USDRON,21-Mar-2017,31-Jan-2020,0.00895690577479727,-0.237322304127302,16.9516129032258
USDSGD,21-Mar-2017,31-Jan-2020,0.00782828148629108,0.314633793146016,19.3272727272727
USDTHB,21-Mar-2017,31-Jan-2020,0.00810230935324224,1.11504792920421,24.0416666666667
USDTRY,21-Mar-2017,31-Jan-2020,0.0127545158402679,0.695656226241958,19.5918367346939
USDTWD,24-Mar-2017,31-Jan-2020,0.00743882554726075,0.379743422624304,25.8918918918919
USDZAR,21-Mar-2017,31-Jan-2020,0.00894986847622124,-0.393606386531704,11.3815789473684
