code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,17-Dec-2004,31-Jan-2020,0.437371006243655,0.448610849315444,21.0288689067676
AUDUSD,20-Dec-2004,31-Jan-2020,0.00826763743547373,0.160043425527296,13.8700564971751
EURUSD,20-Dec-2004,31-Jan-2020,0.00797669134791687,0.196633982371383,14.3044776119403
GBPUSD,20-Dec-2004,31-Jan-2020,0.008831070331928,-0.128652982596606,12.758530183727
NZDUSD,20-Dec-2004,31-Jan-2020,0.00776819678030933,0.0531688251212246,14.9607250755287
USDCAD,20-Dec-2004,31-Jan-2020,0.00810924914849019,-0.0120123557943924,13.9584569732938
USDCHF,20-Dec-2004,31-Jan-2020,0.0105167358470316,-0.174460572741409,13.4912790697674
USDJPY,20-Dec-2004,31-Jan-2020,0.00918253306728316,0.250844149967588,13.5
USDNOK,20-Dec-2004,31-Jan-2020,0.0087216225310079,0.355711059216543,15.6952380952381
USDSEK,20-Dec-2004,31-Jan-2020,0.0078858272765338,0.0784866095171311,14.2908011869436
USDBRL,20-Dec-2004,31-Jan-2020,0.011273039718704,0.348485437849573,15.2055214723926
USDCLP,20-Dec-2004,31-Jan-2020,0.00935521755549521,0.377173622727423,14.7186544342508
USDCOP,17-Dec-2004,31-Jan-2020,0.00862824937777977,0.460424113897502,15.5365079365079
USDCZK,20-Dec-2004,31-Jan-2020,0.00771861778716273,0.167267707571762,15.5242424242424
USDHUF,20-Dec-2004,31-Jan-2020,0.00794288595500688,0.0437694491279703,14.7876923076923
USDILS,20-Dec-2004,31-Jan-2020,0.0071613210417862,0.392332512466174,17.3797909407666
USDINR,20-Dec-2004,31-Jan-2020,0.00946702520513495,0.465514399035564,16.5376712328767
USDKRW,20-Dec-2004,31-Jan-2020,0.0109383281604306,0.171785364523143,15.0093457943925
USDMXN,20-Dec-2004,31-Jan-2020,0.00980527728947912,0.193642691802011,15.4563106796117
USDMYR,21-Dec-2004,31-Jan-2020,0.010853955467157,1.02058739719636,17.1070234113712
USDPHP,20-Dec-2004,31-Jan-2020,0.00671286279231341,0.128997857552587,19.1992753623188
USDPLN,20-Dec-2004,31-Jan-2020,0.00853796956694633,0.131831352460326,15.3138461538462
USDRON,20-Dec-2004,31-Jan-2020,0.00787675362125997,0.236086771785464,16.6148648648649
USDSGD,20-Dec-2004,31-Jan-2020,0.00814851530801246,0.511215713586635,18.5563139931741
USDTHB,20-Dec-2004,31-Jan-2020,0.00923866868306003,0.911428330704676,25.2477477477477
USDTRY,20-Dec-2004,31-Jan-2020,0.010304143130306,0.316556860050233,15.1169230769231
USDTWD,24-Dec-2004,31-Jan-2020,0.00806708608020009,0.931722365169666,22.3991416309013
USDZAR,20-Dec-2004,31-Jan-2020,0.008804155874132,-0.227235451047794,13.4647058823529
