date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value
731342,10458665.0213,10433888.6847,10315321.6275,9840814.2483,11043775.3114,10458665.0213,10391272.4211,3541244.2975,10791844.0381,10458665.0213,10458665.0213
731343,10011592.5513,9934034.6284,9930338.0084,9416321.616,10535891.6743,10011592.5513,9929633.6191,3366919.4513,10405316.8,10011592.5513,10011592.5513
731344,7087224.345,7065513.6751,7068465.5979,6507799.948,7602693.2748,7087224.345,6932880.1162,605754.0667,7490555.2994,7087224.345,7087224.345
731345,8802179.5842,8838770.3781,8762692.6695,8221091.7827,9403376.4048,8802179.5842,8457683.6502,1794697.9464,9341800.047,8802179.5842,8802179.5842
731346,10860554.9547,10839320.2516,10826952.1493,10268206.8179,11417800.625,10860554.9547,10465391.1542,3442757.8721,11403709.184,10860554.9547,10860554.9547
731349,10947966.1734,10932938.0881,10915519.8538,10381226.6963,11538784.6467,10947966.1734,10642354.2502,3471223.7495,11497419.4374,10947966.1734,10947966.1734
731350,8689700.3238,8754522.2002,8562952.3718,8114085.7204,9235805.9349,8520337.2627,8520401.5218,1439312.6536,9231357.3839,8859063.3848,8689700.3238
731351,10940940.6138,10939980.0467,10783682.2378,10342343.663,11433742.9503,10922462.8231,10179935.8712,3561765.9089,11583332.1337,10959418.4046,10940940.6138
731352,10953904.0574,10959862.6495,10744704.8149,10341119.9365,11456376.8291,10867719.9007,10314682.3296,3597678.063,11769410.853,11040088.2142,10953904.0574
731353,15150666.2297,15011631.0684,14918236.1517,14506039.1902,15653737.3691,15082999.4389,13927418.9764,7247217.7832,16149795.9452,15218333.0204,15150666.2297
731356,16587045.678,16454033.1794,16245627.1905,15927825.0964,17097770.4137,16530826.1104,15308525.8428,8482189.7368,17586771.9871,16643265.2456,16587045.678
731357,17073469.0939,16949173.535,16694259.2089,16400753.1423,17576414.9511,17040628.2325,15621725.1502,8914363.5701,18065726.2665,17106309.9553,17073469.0939
731358,18494896.7688,18402209.9811,18009628.0902,17809192.8022,19061683.127,18447849.0154,16713263.2025,10340747.2145,19487514.3236,18541944.5222,18494896.7688
731359,17403589.1701,17380104.9855,16918777.0741,16727996.8917,17968894.3947,17303544.688,15860879.8112,9207481.281,18397187.8565,17503633.6521,17403589.1701
731360,16878038.1799,16866476.5706,16383729.6789,16197957.0309,17444666.5294,16816313.7524,15555784.3286,8613568.6251,17866517.8502,16939762.6075,16878038.1799
731363,17348854.833,17320722.5554,16822408.1548,16659054.7076,17918834.7504,17195578.4311,15994395.7162,9068280.5205,18328082.8369,17502131.2349,17348854.833
731364,20244980.2405,20155834.3132,19815914.1023,19550342.6852,20812375.1452,20312491.7992,18409411.5323,11753312.117,21236901.3783,20177468.6819,20244980.2405
731365,22042611.1315,21941869.4372,21538476.9004,21330216.4879,22618006.3422,22162762.5082,19988185.2208,13506881.3181,23049214.4405,21922459.7548,22042611.1315
731366,23753863.5474,23681898.0935,23192623.488,23017474.9774,24328586.8722,23993292.9004,21469589.6261,15078326.2746,24763333.4697,23514434.1945,23753863.5474
731367,22797628.2977,22744574.5448,22174344.4098,22064250.1452,23427589.4588,22754213.1705,20708801.3297,14223346.1448,23802457.0825,22841043.425,22797628.2977
731370,25115634.9601,25004170.6963,24479845.8945,24372990.5398,25806435.5559,25127282.1193,22737776.7468,16458478.892,26125642.3661,25103987.801,25115634.9601
731371,25854211.0875,25722153.051,25183609.2216,25130131.9363,26552160.4338,25769387.642,23620141.5342,17204794.5977,26874942.3106,25939034.533,25854211.0875
731372,24909520.4411,24800618.3368,24241430.2542,24193536.949,25605558.1908,24638376.7122,22645218.1494,16424679.6364,25933284.1267,25180664.17,24909520.4411
731373,26641318.7525,26400198.7881,26081582.2689,25942415.8615,27408103.8568,26399168.3806,24046388.0859,18143699.3212,27672510.7,26883469.1244,26628892.832
731374,25679130.4041,25479142.766,25180681.4287,24992575.9478,26377118.4671,25449275.0004,23233216.7271,17110503.2353,26713427.0764,25908985.8077,25785345.1552
731377,24884072.7572,24719477.1047,24326853.4818,24194325.072,25544272.2837,24682388.9169,22474137.8044,16404781.2785,25917927.6882,25085756.5975,25017533.1625
731378,27089993.5689,26951385.3492,26445137.7757,26393152.6993,27841415.2676,27088291.4813,24600842.1206,18538697.6438,28134432.1632,27091695.6566,27278155.924
731379,26966166.4765,26826670.773,26366715.6945,26296216.0085,27768235.0859,26906289.0555,24809929.6167,18317446.2907,28024377.8915,27016069.6746,27154328.8315
731380,25827984.8844,25716319.6704,25259265.0131,25140269.1123,26698710.7802,25711510.9558,23641876.3713,17225964.2165,26877264.0284,25948912.3512,26016147.2395
731381,26621372.3918,26493868.1339,26021043.8026,25930253.6335,27383448.6205,26589386.7308,24331564.9585,17862133.31,27689199.6909,26720062.4732,26720704.6752
731384,25735158.7773,25580557.7222,25158252.7752,25026698.5034,26521410.6562,25676445.3657,23628686.9775,17106911.1434,26802549.6067,25890531.6437,25856435.0769
