code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,11-Apr-2002,31-Jan-2020,0.012834635136655,1.15764577118673,20.9352209352209
AUDUSD,15-Apr-2002,31-Jan-2020,0.00796779937688884,0.287331882046308,15.4722222222222
EURUSD,15-Apr-2002,31-Jan-2020,0.0085183720011655,0.355604521148599,14.9464788732394
GBPUSD,15-Apr-2002,31-Jan-2020,0.00865093929720623,0.0283406096312298,13.6354430379747
NZDUSD,15-Apr-2002,31-Jan-2020,0.00792055870755786,0.262193738654239,16.8597014925373
USDCAD,15-Apr-2002,31-Jan-2020,0.0078120034384593,0.133049345474112,15.0583090379009
USDCHF,15-Apr-2002,31-Jan-2020,0.0106614715356416,-0.0930096407232216,13.8135135135135
USDJPY,15-Apr-2002,31-Jan-2020,0.00863615482818712,0.107755975139968,13.6538461538462
USDNOK,15-Apr-2002,31-Jan-2020,0.00842567002103262,0.199224184031543,15.1932773109244
USDSEK,15-Apr-2002,31-Jan-2020,0.00757828223615452,0.227429213937639,15.4869565217391
USDBRL,12-Apr-2002,31-Jan-2020,0.011721752765811,0.443798156753556,16.1407185628743
USDCLP,12-Apr-2002,31-Jan-2020,0.00964728263627681,0.599769216453554,15.8256880733945
USDCOP,11-Apr-2002,31-Jan-2020,0.0100378718138852,0.729285614936512,17.584126984127
USDCZK,12-Apr-2002,31-Jan-2020,0.0076500040252266,0.262134484782616,16.2714285714286
USDHUF,12-Apr-2002,31-Jan-2020,0.00763251460485753,0.0649610444212656,14.5949008498584
USDILS,11-Apr-2002,31-Jan-2020,0.00728710323093409,0.405513731073233,17.9177215189873
USDINR,15-Apr-2002,31-Jan-2020,0.00912849453916292,0.764213804363934,20.3308823529412
USDKRW,11-Apr-2002,31-Jan-2020,0.0118258978499175,0.309831778726718,14.7220630372493
USDMXN,12-Apr-2002,31-Jan-2020,0.00922843514105791,0.184665920559839,15.5045871559633
USDMYR,15-Apr-2002,31-Jan-2020,0.0100876753009937,0.819584003221158,17.243816254417
USDPHP,12-Apr-2002,31-Jan-2020,0.00634057183965429,0.163111708519273,19.8576388888889
USDPLN,15-Apr-2002,31-Jan-2020,0.00808917737690218,0.204614322829639,15.8405797101449
USDRON,12-Apr-2002,31-Jan-2020,0.00785728919770791,0.183947500963617,16.5882352941176
USDSGD,15-Apr-2002,31-Jan-2020,0.00841973140504217,0.461691949945026,18.6037151702786
USDTHB,12-Apr-2002,31-Jan-2020,0.00996980149149265,0.928567292829596,24.734375
USDTRY,12-Apr-2002,31-Jan-2020,0.011254280023384,0.444126421458753,15.8434782608696
USDTWD,19-Apr-2002,31-Jan-2020,0.00849401543642563,0.953250029607407,23.1164658634538
USDZAR,12-Apr-2002,31-Jan-2020,0.00829224008889214,-0.179988256230959,13.8172043010753
