code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,3.28431025503277,127,36.5748031496063,37.7952755905512,76,61.1184210526316,30.2631578947368,0.00836667876550794,0.310509238305743,15.2709359605911
EURUSD,15-Apr-2002,31-Jan-2020,3.99978914781836,127,36.5748031496063,35.4330708661417,72,64.5138888888889,34.7222222222222,0.00871897164703571,0.353491882622062,15.1297709923664
GBPUSD,15-Apr-2002,31-Jan-2020,-2.58090074368794,146,31.8150684931507,28.0821917808219,91,51.043956043956,24.1758241758242,0.00919125772054296,-0.107028037775053,13.1306209850107
NZDUSD,15-Apr-2002,31-Jan-2020,3.48906900399633,124,37.4596774193548,37.0967741935484,68,68.3088235294118,38.2352941176471,0.00810873714577008,0.331716336527104,16.490861618799
USDCAD,15-Apr-2002,31-Jan-2020,0.37263043850666,129,36.0077519379845,31.0077519379845,72,64.5138888888889,30.5555555555556,0.00814328624528034,0.093281031577973,14.7909319899244
USDCHF,15-Apr-2002,31-Jan-2020,-2.70878427347749,134,34.6641791044776,33.5820895522388,74,62.7702702702703,31.0810810810811,0.0109622488189994,-0.0530296453147953,14.2391304347826
USDJPY,15-Apr-2002,31-Jan-2020,2.10034593596773,137,33.9051094890511,32.8467153284672,71,65.4225352112676,30.9859154929577,0.00902322977926127,0.216936591316598,13.5700483091787
USDNOK,15-Apr-2002,31-Jan-2020,3.95626747161535,122,38.0737704918033,37.7049180327869,77,60.3246753246753,35.0649350649351,0.00910767517168329,0.341446725606695,15.5138539042821
USDSEK,15-Apr-2002,31-Jan-2020,2.37120379209741,133,34.9248120300752,34.5864661654135,70,66.3571428571429,37.1428571428571,0.00820173545605397,0.245559124338018,14.87841191067
USDBRL,12-Apr-2002,31-Jan-2020,8.17008652843925,124,37.4596774193548,34.6774193548387,74,62.7702702702703,36.4864864864865,0.012749503900367,0.490390463387479,16.0829015544041
USDCLP,12-Apr-2002,31-Jan-2020,8.87011827146575,133,34.9248120300752,37.593984962406,69,67.3188405797101,43.4782608695652,0.010400467681679,0.599143716148304,15.0432569974555
USDCOP,11-Apr-2002,31-Jan-2020,11.1912727857687,109,42.6146788990826,48.6238532110092,71,65.4225352112676,39.4366197183099,0.00958300818972188,0.775936352419932,17.5350140056022
USDCZK,12-Apr-2002,31-Jan-2020,2.78858686619701,120,38.7083333333333,40.8333333333333,74,62.7702702702703,41.8918918918919,0.00781010423774182,0.284459048564562,16.5859375
USDHUF,12-Apr-2002,31-Jan-2020,-1.67642914338308,132,35.1893939393939,31.0606060606061,75,61.9333333333333,33.3333333333333,0.00805368964566119,-0.0691890810543154,13.9031476997579
USDILS,11-Apr-2002,31-Jan-2020,5.10576863004051,120,38.7083333333333,43.3333333333333,65,71.4615384615385,49.2307692307692,0.00768083832712866,0.470841376466603,18.2694444444444
USDINR,15-Apr-2002,31-Jan-2020,10.4229913502068,105,44.2380952380952,40,61,76.1475409836066,47.5409836065574,0.00961062048947717,0.728256093652935,19.25625
USDKRW,11-Apr-2002,31-Jan-2020,4.36179132358112,123,37.7642276422764,34.9593495934959,74,62.7702702702703,31.0810810810811,0.0121655093845283,0.318139475302604,15.1007751937985
USDMXN,12-Apr-2002,31-Jan-2020,1.57707095414985,129,36.0077519379845,35.6589147286822,67,69.3283582089552,35.8208955223881,0.00972502545259214,0.178402049312217,15.0156657963446
USDMYR,15-Apr-2002,31-Jan-2020,11.122023997448,101,45.990099009901,38.6138613861386,60,77.4166666666667,41.6666666666667,0.0103660849945038,0.728013349446387,16.411214953271
USDPHP,12-Apr-2002,31-Jan-2020,0.18646558004578,103,45.0970873786408,35.9223300970874,62,74.9193548387097,37.0967741935484,0.00656969217998419,0.0699762839753084,18.8810975609756
USDPLN,15-Apr-2002,31-Jan-2020,1.63936916534613,127,36.5748031496063,34.6456692913386,71,65.4225352112676,30.9859154929577,0.0085896098856024,0.187522718788685,15.4092071611253
USDRON,12-Apr-2002,31-Jan-2020,1.40053851682482,113,41.1061946902655,31.858407079646,70,66.3571428571429,30,0.00818972980838826,0.17222141398998,16.5333333333333
USDSGD,15-Apr-2002,31-Jan-2020,4.70745870377927,121,38.3884297520661,41.3223140495868,62,74.9193548387097,37.0967741935484,0.00830387166614338,0.416176841765608,17.9643835616438
USDTHB,12-Apr-2002,31-Jan-2020,15.3937090630423,80,58.0625,55,54,86.0185185185185,50,0.0101243890715947,0.974715528848901,26.1627906976744
USDTRY,12-Apr-2002,31-Jan-2020,4.98343933802663,120,38.7083333333333,38.3333333333333,70,66.3571428571429,34.2857142857143,0.0106792767016034,0.371551152252765,16.0633245382586
USDTWD,19-Apr-2002,31-Jan-2020,13.3724488165733,86,54.0116279069767,46.5116279069767,55,84.4545454545455,54.5454545454545,0.00888311912992815,0.963771886056414,23.0654545454545
USDZAR,12-Apr-2002,31-Jan-2020,-1.84285494083838,131,35.4580152671756,30.5343511450382,76,61.1184210526316,32.8947368421053,0.00877287218504437,-0.0654693667351454,14.180487804878
