code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,2.00252769611229,95,48.8947368421053,31.5789473684211,68,68.3088235294118,32.3529411764706,0.00886283295523697,0.211674533006426,20.0306748466258
EURUSD,15-Apr-2002,31-Jan-2020,3.49692484175563,94,49.4148936170213,34.0425531914894,66,70.3787878787879,34.8484848484849,0.00899866940102588,0.312814667939903,19.1401869158878
GBPUSD,15-Apr-2002,31-Jan-2020,-0.786849088419339,110,42.2272727272727,24.5454545454545,76,61.1184210526316,27.6315789473684,0.00946206089286928,0.0222565713799086,16.7177419354839
NZDUSD,15-Apr-2002,31-Jan-2020,2.61972727150943,83,55.9638554216867,39.7590361445783,65,71.4615384615385,36.9230769230769,0.00834301827214171,0.262055534156341,22.7864406779661
USDCAD,15-Apr-2002,31-Jan-2020,0.525727668827169,89,52.1910112359551,32.5842696629214,68,68.3088235294118,32.3529411764706,0.00855022308151866,0.106435857040787,19.415873015873
USDCHF,15-Apr-2002,31-Jan-2020,-2.03038974658764,97,47.8865979381443,30.9278350515464,70,66.3571428571429,32.8571428571429,0.00972512170781904,-0.0501715135414638,18.0658682634731
USDJPY,15-Apr-2002,31-Jan-2020,1.61903703649855,96,48.3854166666667,32.2916666666667,65,71.4615384615385,33.8461538461538,0.00938510108012593,0.18235757630797,18.84375
USDNOK,15-Apr-2002,31-Jan-2020,0.362573217887285,97,47.8865979381443,34.020618556701,70,66.3571428571429,34.2857142857143,0.00824838582665469,0.0929568647631474,18.9492537313433
USDSEK,15-Apr-2002,31-Jan-2020,3.31212370054095,95,48.8947368421053,34.7368421052632,67,69.3283582089552,35.8208955223881,0.00907801499809121,0.298818423618309,18.9169230769231
USDBRL,12-Apr-2002,31-Jan-2020,8.71950556300838,87,53.3908045977011,36.7816091954023,65,71.4615384615385,33.8461538461538,0.0124833063151358,0.522293943664273,20.3137254901961
USDCLP,12-Apr-2002,31-Jan-2020,8.23517796184616,99,46.9191919191919,36.3636363636364,61,76.1475409836066,42.6229508196721,0.0108876504525998,0.54574895099049,19.1174603174603
USDCOP,11-Apr-2002,31-Jan-2020,12.6151652790075,82,56.6463414634146,43.9024390243902,65,71.4615384615385,41.5384615384615,0.0109701481412061,0.771599519483483,21.7113402061856
USDCZK,12-Apr-2002,31-Jan-2020,0.75802126520137,94,49.4148936170213,37.2340425531915,69,67.3188405797101,39.1304347826087,0.00769751210930609,0.122913006043572,20.361963190184
USDHUF,12-Apr-2002,31-Jan-2020,0.668347653432289,94,49.4148936170213,31.9148936170213,61,76.1475409836066,39.344262295082,0.00857939435351239,0.116971468426096,19.7180327868852
USDILS,11-Apr-2002,31-Jan-2020,3.97778498129859,78,59.5512820512821,44.8717948717949,59,78.728813559322,45.7627118644068,0.00777446593591336,0.378961184907294,23.5418181818182
USDINR,15-Apr-2002,31-Jan-2020,8.53607500825573,78,59.5512820512821,48.7179487179487,53,87.6415094339623,49.0566037735849,0.00902691054435433,0.645093680312572,24.8527131782946
USDKRW,11-Apr-2002,31-Jan-2020,2.60277081494009,99,46.9191919191919,33.3333333333333,69,67.3188405797101,27.536231884058,0.0113104717301471,0.233127377219528,17.7032640949555
USDMXN,12-Apr-2002,31-Jan-2020,2.45754135337688,91,51.043956043956,35.1648351648352,60,77.4166666666667,35,0.0103577144493882,0.229887426832403,19.7880794701987
USDMYR,15-Apr-2002,31-Jan-2020,15.9031806485368,73,63.6301369863014,36.986301369863,53,87.6415094339623,45.2830188679245,0.0114037839505253,0.911138550029103,21.4370078740157
USDPHP,12-Apr-2002,31-Jan-2020,2.24613584492941,74,62.7702702702703,36.4864864864865,55,84.4545454545455,41.8181818181818,0.00708723957528316,0.254304134585187,25.30859375
USDPLN,15-Apr-2002,31-Jan-2020,-0.409674534050886,89,52.1910112359551,34.8314606741573,66,70.3787878787879,31.8181818181818,0.00838433363167899,0.03522531955697,20.0868167202572
USDRON,12-Apr-2002,31-Jan-2020,1.41396046234037,85,54.6470588235294,30.5882352941176,65,71.4615384615385,32.3076923076923,0.00880313338430187,0.170540509884483,20.3466666666667
USDSGD,15-Apr-2002,31-Jan-2020,5.34350968555604,73,63.6301369863014,39.7260273972603,58,80.0862068965517,36.2068965517241,0.0088018186828881,0.443875995402094,27.3639846743295
USDTHB,12-Apr-2002,31-Jan-2020,12.7179736079999,61,76.1475409836066,50.8196721311475,52,89.3269230769231,53.8461538461538,0.0102472707847371,0.820086279576895,29.6447368421053
USDTRY,12-Apr-2002,31-Jan-2020,5.35648518727814,88,52.7840909090909,35.2272727272727,67,69.3283582089552,32.8358208955224,0.0112194252530157,0.38107048119432,20.3441558441558
USDTWD,19-Apr-2002,31-Jan-2020,11.7717264075288,65,71.4615384615385,50.7692307692308,49,94.7959183673469,59.1836734693878,0.0094487929566793,0.819875320006956,28.5021834061135
USDZAR,12-Apr-2002,31-Jan-2020,-3.93749672698814,102,45.5392156862745,29.4117647058824,68,68.3088235294118,27.9411764705882,0.0087848232061279,-0.220493481018932,17.2797619047619
